fiscal_year,county_code,county_name,ind_skilled_birth_attendance_norm,ind_primary_completion_norm,ind_pupil_teacher_ratio_norm,ind_poverty_headcount_norm,service_delivery_score,components_available
2013/14,1,Mombasa,78.60635696821517,81.84143222506394,75.43859649122807,71.12970711297072,76.8,4
2014/15,1,Mombasa,,,,,,4
2015/16,1,Mombasa,,,,,,4
2016/17,1,Mombasa,,,,,,4
2017/18,1,Mombasa,,,,,,4
2018/19,1,Mombasa,,,,,,4
2019/20,1,Mombasa,,,,,,4
2020/21,1,Mombasa,,,,,,4
2021/22,1,Mombasa,86.67481662591686,86.31713554987212,82.45614035087719,77.54532775453278,83.2,4
2022/23,1,Mombasa,,,,,,4
2023/24,1,Mombasa,,,,,,4
2013/14,2,Kwale,,,,,,4
2014/15,2,Kwale,,,,,,4
2015/16,2,Kwale,,,,,,4
2016/17,2,Kwale,,,,,,4
2017/18,2,Kwale,,,,,,4
2018/19,2,Kwale,,,,,,4
2019/20,2,Kwale,,,,,,4
2020/21,2,Kwale,,,,,,4
2021/22,2,Kwale,,,,,,4
2022/23,2,Kwale,,,,,,4
2023/24,2,Kwale,,,,,,4
2013/14,3,Kilifi,47.67726161369193,51.150895140664964,52.631578947368425,33.05439330543933,46.1,4
2014/15,3,Kilifi,,,,,,4
2015/16,3,Kilifi,,,,,,4
2016/17,3,Kilifi,,,,,,4
2017/18,3,Kilifi,,,,,,4
2018/19,3,Kilifi,,,,,,4
2019/20,3,Kilifi,,,,,,4
2020/21,3,Kilifi,,,,,,4
2021/22,3,Kilifi,57.21271393643031,60.10230179028133,64.91228070175438,43.235704323570445,56.4,4
2022/23,3,Kilifi,,,,,,4
2023/24,3,Kilifi,,,,,,4
2013/14,4,Tana River,,,,,,4
2014/15,4,Tana River,,,,,,4
2015/16,4,Tana River,,,,,,4
2016/17,4,Tana River,,,,,,4
2017/18,4,Tana River,,,,,,4
2018/19,4,Tana River,,,,,,4
2019/20,4,Tana River,,,,,,4
2020/21,4,Tana River,,,,,,4
2021/22,4,Tana River,,,,,,4
2022/23,4,Tana River,,,,,,4
2023/24,4,Tana River,,,,,,4
2013/14,5,Lamu,,,,,,4
2014/15,5,Lamu,,,,,,4
2015/16,5,Lamu,,,,,,4
2016/17,5,Lamu,,,,,,4
2017/18,5,Lamu,,,,,,4
2018/19,5,Lamu,,,,,,4
2019/20,5,Lamu,,,,,,4
2020/21,5,Lamu,,,,,,4
2021/22,5,Lamu,,,,,,4
2022/23,5,Lamu,,,,,,4
2023/24,5,Lamu,,,,,,4
2013/14,6,Taita-Taveta,,,,,,4
2014/15,6,Taita-Taveta,,,,,,4
2015/16,6,Taita-Taveta,,,,,,4
2016/17,6,Taita-Taveta,,,,,,4
2017/18,6,Taita-Taveta,,,,,,4
2018/19,6,Taita-Taveta,,,,,,4
2019/20,6,Taita-Taveta,,,,,,4
2020/21,6,Taita-Taveta,,,,,,4
2021/22,6,Taita-Taveta,,,,,,4
2022/23,6,Taita-Taveta,,,,,,4
2023/24,6,Taita-Taveta,,,,,,4
2013/14,7,Garissa,9.413202933985328,17.902813299232736,26.31578947368422,28.31241283124129,20.5,4
2014/15,7,Garissa,,,,,,4
2015/16,7,Garissa,,,,,,4
2016/17,7,Garissa,,,,,,4
2017/18,7,Garissa,,,,,,4
2018/19,7,Garissa,,,,,,4
