fiscal_year,county_code,county_name,allocation_mn,source_url
2013/14,001,Mombasa,4446.0,cra.go.ke
2013/14,002,Kwale,3116.0,cra.go.ke
2013/14,003,Kilifi,4693.0,cra.go.ke
2013/14,004,Tana River,2470.0,cra.go.ke
2013/14,005,Lamu,1672.0,cra.go.ke
2013/14,006,Taita-Taveta,2185.0,cra.go.ke
2013/14,007,Garissa,3344.0,cra.go.ke
2013/14,008,Wajir,3363.0,cra.go.ke
2013/14,009,Mandera,3629.0,cra.go.ke
2013/14,010,Marsabit,3002.0,cra.go.ke
2013/14,011,Isiolo,2033.0,cra.go.ke
2013/14,012,Meru,4636.0,cra.go.ke
2013/14,013,Tharaka-Nithi,2071.0,cra.go.ke
2013/14,014,Embu,2432.0,cra.go.ke
2013/14,015,Kitui,4256.0,cra.go.ke
2013/14,016,Machakos,4218.0,cra.go.ke
2013/14,017,Makueni,3591.0,cra.go.ke
2013/14,018,Nyandarua,2584.0,cra.go.ke
2013/14,019,Nyeri,2869.0,cra.go.ke
2013/14,020,Kirinyaga,2185.0,cra.go.ke
2013/14,021,Murang'a,3325.0,cra.go.ke
2013/14,022,Kiambu,5073.0,cra.go.ke
2013/14,023,Turkana,5187.0,cra.go.ke
2013/14,024,West Pokot,2679.0,cra.go.ke
2013/14,025,Samburu,2318.0,cra.go.ke
2013/14,026,Trans-Nzoia,2964.0,cra.go.ke
2013/14,027,Uasin Gishu,3287.0,cra.go.ke
2013/14,028,Elgeyo-Marakwet,2166.0,cra.go.ke
2013/14,029,Nandi,3059.0,cra.go.ke
2013/14,030,Baringo,2888.0,cra.go.ke
2013/14,031,Laikipia,2337.0,cra.go.ke
2013/14,032,Nakuru,5396.0,cra.go.ke
2013/14,033,Narok,3762.0,cra.go.ke
2013/14,034,Kajiado,3401.0,cra.go.ke
2013/14,035,Kericho,2869.0,cra.go.ke
2013/14,036,Bomet,2812.0,cra.go.ke
2013/14,037,Kakamega,5415.0,cra.go.ke
2013/14,038,Vihiga,2204.0,cra.go.ke
2013/14,039,Bungoma,4598.0,cra.go.ke
2013/14,040,Busia,2869.0,cra.go.ke
2013/14,041,Siaya,3078.0,cra.go.ke
2013/14,042,Kisumu,3743.0,cra.go.ke
2013/14,043,Homa Bay,3477.0,cra.go.ke
2013/14,044,Migori,3382.0,cra.go.ke
2013/14,045,Kisii,3990.0,cra.go.ke
2013/14,046,Nyamira,2242.0,cra.go.ke
2013/14,047,Nairobi,8284.0,cra.go.ke
2014/15,001,Mombasa,5303.8,cra.go.ke
2014/15,002,Kwale,3717.2,cra.go.ke
2014/15,003,Kilifi,5598.5,cra.go.ke
2014/15,004,Tana River,2946.6,cra.go.ke
2014/15,005,Lamu,1994.6,cra.go.ke
2014/15,006,Taita-Taveta,2606.6,cra.go.ke
2014/15,007,Garissa,3989.2,cra.go.ke
2014/15,008,Wajir,4011.9,cra.go.ke
2014/15,009,Mandera,4329.2,cra.go.ke
2014/15,010,Marsabit,3581.2,cra.go.ke
2014/15,011,Isiolo,2425.3,cra.go.ke
2014/15,012,Meru,5530.5,cra.go.ke
